"url","Thumbnail image","Thumbnail image_alt","Thumbnail image_link","Title value","Title value_link","Title image","Title image_alt","Title image_link","Textsuccess value","Textsuccess value_link","Textinfo description","Textinfo description_link","Textwarning value","Textwarning value_link","Texterror value","Texterror value_link"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/HImalayan_Snax_and_Noodles_May_27_2016-Logo.gif","","http://www.merojob.com/nepaljob/production-manager_40341.html","Production Manager","http://www.merojob.com/nepaljob/production-manager_40341.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/production-manager_40341.html","Himalayan Snax & Noodles","http://www.merojob.com/nepaljob/production-manager_40341.html","Minumum 5 years of experience in related field Knowledge and experience in production and manufacturing processes and techniques Knowledge of r...","http://www.merojob.com/nepaljob/production-manager_40341.html","Education: Bachelor | Views: 261 |","http://www.merojob.com/nepaljob/production-manager_40341.html","Deadline: 14 days left","http://www.merojob.com/nepaljob/production-manager_40341.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/EBCG_TJP_Jan_7_2016-Logo.gif","","http://www.merojob.com/nepaljob/hr-office-manager_40365.html","HR & Office Manager","http://www.merojob.com/nepaljob/hr-office-manager_40365.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/hr-office-manager_40365.html","European Business Group","http://www.merojob.com/nepaljob/hr-office-manager_40365.html","-","http://www.merojob.com/nepaljob/hr-office-manager_40365.html","Education: Bachelor | Views: 751 |","http://www.merojob.com/nepaljob/hr-office-manager_40365.html","Deadline: 6 days left","http://www.merojob.com/nepaljob/hr-office-manager_40365.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/HImalayan_Snax_and_Noodles_May_27_2016-Logo.gif","","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html","Commericial Officer (Male)","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html","Himalayan Snax & Noodles","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html","Should have good knowledge of procurement process Good interpersonal and communication skill High degree of professionalism and ethics Should...","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html","Education: Bachelor | Views: 1544 |","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html","Deadline: 8 days left","http://www.merojob.com/nepaljob/commericial-officer-male_40343.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/HImalayan_Snax_and_Noodles_May_27_2016-Logo.gif","","http://www.merojob.com/nepaljob/account-officer_40340.html","Account Officer","http://www.merojob.com/nepaljob/account-officer_40340.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/account-officer_40340.html","Himalayan Snax & Noodles","http://www.merojob.com/nepaljob/account-officer_40340.html","​Good knowledge of book keeping, cash management, collection, financial control, tax accounting. Graduate in commerce field. Good skill to op...","http://www.merojob.com/nepaljob/account-officer_40340.html","Education: Bachelor | Views: 1754 |","http://www.merojob.com/nepaljob/account-officer_40340.html","Deadline: 8 days left","http://www.merojob.com/nepaljob/account-officer_40340.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Possible_Vacancy_TJP_2016_Jun_29-logo.jpg","","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html","Vice President of People Operations","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html","Possible","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html","-","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html","Education: Master | Views: 686 |","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html","Deadline: 14 days left","http://www.merojob.com/nepaljob/vice-president-of-people-operations_40129.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Olive_Vac_I_2478-logo.gif","","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html","Multimedia Project Manager (With German Language Skill)","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html","Olive Media","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html","-","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html","Education: Bachelor | Views: 409 |","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html","Deadline: 14 days left","http://www.merojob.com/nepaljob/multimedia-project-manager-with-german-language-skill_40320.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/WVI_Nepal_TJP_Aug_07_2015-logo.gif","","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html","Literacy Boost Officer (One)","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html","World Vision International Nepal (WVIN)","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html","-","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html","Education: Bachelor | Views: 2973 |","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html","Deadline: 10 days left","http://www.merojob.com/nepaljob/literacy-boost-officer-one_40329.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/WVI_Nepal_TJP_Aug_07_2015-logo.gif","","http://www.merojob.com/nepaljob/project-manager-one_40328.html","Project Manager (One)","http://www.merojob.com/nepaljob/project-manager-one_40328.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/project-manager-one_40328.html","World Vision International Nepal (WVIN)","http://www.merojob.com/nepaljob/project-manager-one_40328.html","-","http://www.merojob.com/nepaljob/project-manager-one_40328.html","Education: 0 | Views: 2882 |","http://www.merojob.com/nepaljob/project-manager-one_40328.html","Deadline: 10 days left","http://www.merojob.com/nepaljob/project-manager-one_40328.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Action_Contre_La_Faim_Vacancy-logo.gif","","http://www.merojob.com/nepaljob/human-resource-manager_40327.html","Human Resource Manager","http://www.merojob.com/nepaljob/human-resource-manager_40327.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/human-resource-manager_40327.html","Action Contre La Faim (ACF)","http://www.merojob.com/nepaljob/human-resource-manager_40327.html","At least 6 years’ experience in HR field with 3 years of experience in a managerial position Knowledge of collective and individual managem...","http://www.merojob.com/nepaljob/human-resource-manager_40327.html","Education: Master | Views: 1156 |","http://www.merojob.com/nepaljob/human-resource-manager_40327.html","Deadline: 3 days left","http://www.merojob.com/nepaljob/human-resource-manager_40327.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Nabil_Invest_Vacancy-logo.gif","","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html","Trainee Associate/Associate (AC)","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html","Nabil Investment Banking","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html","-","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html","Education: Bachelor | Views: 24549 |","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html","Deadline: 5 days left","http://www.merojob.com/nepaljob/trainee-associateassociate-ac_40291.html"
